PID, Wait Time, Turnaround, Response
2, 0, 29, 0
3, 0, 42, 0
4, 0, 31, 0
5, 0, 32, 0
6, 0, 43, 0
7, 0, 57, 0
8, 0, 66, 0
9, 0, 24, 0
10, 0, 83, 0
11, 0, 7, 0
12, 0, 29, 0
13, 0, 53, 0
14, 0, 8, 0
15, 0, 44, 0
16, 0, 57, 0
17, 0, 22, 0
18, 0, 42, 0
19, 0, 81, 0
20, 0, 69, 0
21, 0, 16, 0
22, 0, 44, 0
23, 0, 50, 0
24, 0, 60, 0
25, 2, 42, 0
26, 0, 30, 0
27, 0, 26, 0
28, 0, 89, 0
29, 0, 13, 0
30, 0, 15, 0
31, 0, 12, 0
32, 0, 37, 0
33, 0, 15, 0
34, 0, 63, 0
35, 0, 9, 0
36, 0, 52, 0
37, 0, 13, 0
38, 0, 5, 0
39, 0, 48, 0
40, 0, 3, 0
41, 0, 66, 0
42, 0, 33, 0
43, 0, 2, 0
44, 0, 38, 0
45, 0, 66, 0
46, 0, 46, 0
47, 0, 45, 0
48, 0, 18, 0
49, 0, 67, 0
50, 0, 56, 0
51, 0, 88, 0
52, 0, 50, 0
53, 0, 50, 0
54, 0, 27, 0
55, 0, 29, 0
56, 0, 41, 0
57, 0, 34, 0
58, 0, 34, 0
59, 0, 7, 0
60, 0, 23, 0
61, 0, 42, 0
62, 0, 51, 0
63, 0, 58, 0
64, 0, 92, 0
65, 0, 18, 0
66, 0, 40, 0
67, 0, 72, 0
68, 0, 53, 0
69, 0, 48, 0
70, 0, 34, 0
71, 0, 27, 0
72, 0, 55, 0
73, 0, 29, 0
74, 0, 72, 0
75, 0, 35, 0
76, 0, 50, 0
77, 0, 31, 0
78, 0, 24, 0
79, 0, 29, 0
80, 0, 57, 0
81, 0, 40, 0
82, 0, 28, 0
83, 0, 9, 0
84, 0, 44, 0
85, 0, 37, 0
86, 0, 49, 0
87, 0, 16, 0
88, 0, 47, 0
89, 0, 15, 0
90, 0, 19, 0
91, 0, 54, 0
92, 0, 61, 0
93, 0, 47, 0
94, 0, 15, 0
95, 0, 87, 0
96, 0, 29, 0
97, 0, 57, 0
98, 0, 29, 0
99, 0, 50, 0
100, 9, 22, 9
