PID, Wait Time, Turnaround, Response

1, 4895, 4910, 0
2, 3377, 3406, 0
3, 2093, 2120, 30
4, 17, 30, 2
5, 4441, 4455, 4362
6, 1791, 1817, 15
7, 4119, 4160, 3640
8, 4300, 4371, 3640
9, 21, 46, 1
10, 1935, 2000, 30
11, 2543, 2553, 2269
12, 2654, 2669, 2269
13, 42, 77, 5
14, 3449, 3459, 3160
15, 6, 50, 6
16, 33, 73, 9
17, 2447, 2453, 2223
18, 188, 194, 27
19, 3453, 3499, 3123
20, 2860, 2911, 2584
21, 85, 105, 1
22, 2098, 2108, 1644
23, 1171, 1206, 97
24, 1540, 1583, 1311
25, 1041, 1083, 96
26, 1209, 1224, 93
27, 39, 47, 10
28, 2963, 3019, 2489
29, 3395, 3408, 3395
30, 2433, 2452, 2084
31, 3252, 3265, 2992
32, 2445, 2482, 2445
33, 2, 17, 2
34, 3943, 4011, 3348
35, 4242, 4253, 4022
36, 799, 833, 38
37, 3149, 3164, 2930
38, 4342, 4350, 3991
39, 2335, 2368, 2001
40, 1618, 1622, 1427
41, 1217, 1265, 1123
42, 613, 633, 14
43, 759, 761, 759
44, 1271, 1310, 1088
45, 1230, 1278, 1104
46, 1785, 1795, 1382
47, 611, 622, 5
48, 69, 88, 27
49, 1310, 1362, 1091
50, 3446, 3466, 3213
51, 2974, 3026, 2815
52, 1533, 1584, 1366
53, 1001, 1018, 691
54, 2894, 2903, 2808
55, 3003, 3015, 2809
56, 3872, 3913, 3872
57, 1128, 1162, 1046
58, 575, 610, 43
59, 4223, 4235, 3839
60, 3683, 3690, 3152
61, 2204, 2246, 2204
62, 2023, 2075, 1810
63, 88, 113, 2
64, 905, 964, 608
65, 3329, 3348, 3115
66, 2363, 2367, 2164
67, 53, 107, 5
68, 707, 761, 583
69, 1379, 1428, 1210
70, 3513, 3531, 3074
71, 2371, 2381, 2124
72, 1770, 1825, 1730
73, 87, 100, 6
74, 3791, 3845, 3707
75, 14, 49, 14
76, 174, 192, 26
77, 2538, 2554, 2106
78, 434, 461, 296
79, 936, 947, 867
80, 3514, 3556, 3016
81, 3954, 3960, 3664
82, 1007, 1018, 837
83, 1533, 1546, 1107
84, 1505, 1553, 1090
85, 2438, 2460, 2011
86, 131, 185, 11
87, 2237, 2255, 1995
88, 2387, 2400, 2006
89, 168, 183, 168
90, 3447, 3470, 2906
91, 1456, 1477, 1048
92, 3734, 3759, 3540
93, 2124, 2135, 1957
94, 707, 722, 707
95, 2722, 2778, 2421
96, 3032, 3043, 2831
97, 3406, 3449, 2837
98, 290, 319, 290
99, 3841, 3858, 3490
100, 104, 117, 63
